Deal Id,Product Desc,Prod Type,Sub_Type,Product Extendedtype,Nominal,Trade Currency,Book,CounterParty,TradeStatus,Trade Date,Trade Settle Date,Trader,Entered User,External Reference,Trade Price,Quantity,Notional,Pricer_MV
699296,FXForward/UGX/TZS,FXForward,FXForward,None,-350650,TZS,TZ_FX_Corporate_old,NATIONAL SOCIAL SECURITY FUND-UGANDA,VERIFIED,"Dec 10, 2025 01:01 PM",10-12-2025,NONE,admin,,0.7013,500000,100,350650
699200,FXForward/UGX/TZS,FXForward,FXForward,None,-34565,TZS,TZ_FX_Nostro,NATIONAL SOCIAL SECURITY FUND-UGANDA,VERIFIED,"Dec 10, 2025 10:49 AM",10-12-2025,NONE,admin,,0.6913,50000,1000,34565
699192,FXForward/UGX/TZS,FXForward,FXForward,None,-701300,TZS,TZ_FX_Corporate_old,NATIONAL SOCIAL SECURITY FUND-UGANDA,VERIFIED,"Dec 10, 2025 10:46 AM",10-12-2025,NONE,admin,,0.7013,1000000,2000,701300
698951,FX/USD/TZS,FX,FX,None,246620000,TZS,TZ_FX_Corporate_old,DIY TANZANIA LIMITED,VERIFIED,"Dec 05, 2025 10:57 AM",05-12-2025,Rdmlangwa,gmkama,,2466.2,-100000,3000,-246620000
698938,FXForward/USD/TZS,FXForward,FXForward,None,-665874000,TZS,TZ_FX_Corporate_old,NORTH MARA GOLD MINE LIMITED,VERIFIED,"Dec 05, 2025 10:27 AM",05-12-2025,Rdmlangwa,Rdmlangwa,,2466.2,270000,4000,665874000
698935,FXForward/USD/TZS,FXForward,FXForward,None,394592000,TZS,TZ_FX_Corporate_old,TANGA CEMENT PLC,VERIFIED,"Dec 05, 2025 10:27 AM",05-12-2025,Rdmlangwa,Rdmlangwa,,2441.538,-160000,67890,-390646080
698932,FXForward/UGX/TZS,FXForward,FXForward,None,305460,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 05, 2025 10:27 AM",05-12-2025,Rdmlangwa,Rdmlangwa,,0.665224,-450000,67890,-299350.8
698929,FXForward/USD/TZS,FXForward,FXForward,None,-789184000,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 05, 2025 10:27 AM",05-12-2025,Rdmlangwa,Rdmlangwa,,2392.214,320000,67890,765508480
698926,FXForward/KES/TZS,FXForward,FXForward,None,4572336,TZS,TZ_FX_Interbank,BANK OF AFRICA (T) LIMITED,VERIFIED,"Dec 05, 2025 10:27 AM",05-12-2025,Rdmlangwa,Rdmlangwa,,18.289344,-240000,67890,-4389442.56
698921,FXForward/USD/TZS,FXForward,FXForward,None,320606000,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 05, 2025 10:27 AM",05-12-2025,Rdmlangwa,Rdmlangwa,,2342.89,-130000,67890,-304575700
698910,FX/USD/TZS,FX,FX,None,-9000,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 05, 2025 09:29 AM",10-12-2025,NONE,admin,,2317.80822,3.65,67890,8460.000001
698870,FX/KES/TZS,FX,FX,None,952570000,TZS,TZ_FX_Interbank,BANK OF AFRICA (T) LIMITED,VERIFIED,"Dec 04, 2025 10:43 AM",08-12-2025,phayghaimo,phayghaimo,,17.717802,-50000000,67890,-885890100
698867,FX/UGX/TZS,FX,FX,None,33940000,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 04, 2025 10:43 AM",08-12-2025,phayghaimo,phayghaimo,,0.624496,-50000000,67890,-31224800
698862,FX/USD/TZS,FX,FX,None,2466200000,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 04, 2025 10:43 AM",08-12-2025,phayghaimo,phayghaimo,,2244.242,-1000000,67890,-2244242000
698857,FX/USD/TZS,FX,FX,None,-2300000000,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 04, 2025 10:43 AM",08-12-2025,phayghaimo,phayghaimo,,2070,1000000,67890,2070000000
698853,FXForward/USD/TZS,FXForward,FXForward,None,-857500000,TZS,TZ_FX_Corporate_old,NORTH MARA GOLD MINE LIMITED,VERIFIED,"Dec 04, 2025 10:40 AM",04-12-2025,Bmselemu,bmselemu,,2180.5,350000,67890,763175000
698848,FXForward/USD/TZS,FXForward,FXForward,None,625000000,TZS,TZ_FX_Corporate_old,TANGA CEMENT PLC,VERIFIED,"Dec 04, 2025 10:40 AM",04-12-2025,Bmselemu,bmselemu,,2200,-250000,67890,-550000000
698801,FX/USD/TZS,FX,FX,None,-9000,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 03, 2025 04:32 PM",05-12-2025,NONE,admin,,2441.095891,3.65,67890,8910.000001
698796,FX/USD/TZS,FX,FX,None,100000,TZS,TZ_FX_Corporate_old,DIY TANZANIA LIMITED,VERIFIED,"Dec 03, 2025 03:57 PM",05-12-2025,NONE,gmkama,,2416.76942,-40.55,67890,-97999.99999
698596,FX/USD/TZS,FX,FX,None,-5000,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 03, 2025 01:08 PM",05-12-2025,NONE,admin,,2389.162561,2.03,67890,4850
698402,FX/USD/TZS,FX,FX,None,-9000,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 03, 2025 10:36 AM",05-12-2025,NONE,admin,,2367.123288,3.65,67890,8640.000001
698318,FX/USD/TZS,FX,FX,None,-12331000,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 02, 2025 07:27 PM",04-12-2025,NONE,admin,,2342.89,5000,67890,11714450
698317,FX/USD/TZS,FX,FX,None,-9000,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 02, 2025 07:18 PM",04-12-2025,NONE,admin,,2317.80822,3.65,67890,8460.000001
698215,FXForward/USD/TZS,FXForward,FXForward,None,-14797200,TZS,vFX_Branch_Overs_OLD,TZ_FX_RETAIL,VERIFIED_INTERNAL,"Dec 02, 2025 04:37 PM",02-12-2025,NONE,admin,,2293.566,6000,67890,13761396
698212,FX/USD/TZS,FX,FX,None,-14797200,TZS,vFX_Branch_Overs_OLD,TZ_FX_RETAIL,VERIFIED_INTERNAL,"Dec 02, 2025 04:34 PM",04-12-2025,NONE,admin,,2268.904,6000,67890,13613424
698211,FX/USD/TZS,FX,FX,None,-6000,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 02, 2025 04:32 PM",04-12-2025,NONE,admin,,2246.91358,2.43,67890,5459.999999
698210,FX/USD/TZS,FX,FX,None,-22195800,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 02, 2025 02:51 PM",04-12-2025,NONE,admin,,2219.58,9000,67890,19976220
698209,FX/USD/TZS,FX,FX,None,-22195800,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 02, 2025 02:00 PM",04-12-2025,NONE,admin,,2194.918,9000,67890,19754262
698198,FX/USD/TZS,FX,FX,None,-2000,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 02, 2025 01:32 PM",04-12-2025,NONE,admin,,2172.839506,0.81,67890,1760
698092,FXForward/USD/TZS,FXForward,FXForward,None,-1023473000,TZS,TZ_FX_Corporate_old,NORTH MARA GOLD MINE LIMITED,VERIFIED,"Dec 02, 2025 10:03 AM",02-12-2025,Rdmlangwa,Rdmlangwa,,2441.538,415000,67890,1013238270
698087,FXForward/USD/TZS,FXForward,FXForward,None,715198000,TZS,TZ_FX_Corporate_old,TANGA CEMENT PLC,VERIFIED,"Dec 02, 2025 10:03 AM",02-12-2025,Rdmlangwa,Rdmlangwa,,2416.876,-290000,67890,-700894040
698083,FXForward/USD/TZS,FXForward,FXForward,None,-863170000,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 02, 2025 10:03 AM",02-12-2025,Rdmlangwa,Rdmlangwa,,2392.214,350000,67890,837274900
698080,FXForward/KES/TZS,FXForward,FXForward,None,3810280,TZS,TZ_FX_Interbank,BANK OF AFRICA (T) LIMITED,VERIFIED,"Dec 02, 2025 10:03 AM",02-12-2025,Rdmlangwa,Rdmlangwa,,18.289344,-200000,67890,-3657868.8
698076,FXForward/USD/TZS,FXForward,FXForward,None,295944000,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 02, 2025 10:03 AM",02-12-2025,Rdmlangwa,Rdmlangwa,,2342.89,-120000,67890,-281146800
698054,FX/USD/TZS,FX,FX,None,-22195800,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 01, 2025 05:13 PM",03-12-2025,NONE,admin,,2318.228,9000,67890,20864052
698047,FX/USD/TZS,FX,FX,None,-7398600000,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 01, 2025 05:06 PM",03-12-2025,NONE,admin,,2293.566,3000000,67890,6880698000
698046,FX/USD/TZS,FX,FX,None,-22195800,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 01, 2025 05:03 PM",03-12-2025,NONE,admin,,2268.904,9000,67890,20420136
698041,FX/USD/TZS,FX,FX,None,-3000000,TZS,TZ_FX_Interbank,BANK OF TANZANIA,VERIFIED,"Dec 01, 2025 04:43 PM",03-12-2025,NONE,admin,,2244.235275,1216.45,67890,2730000
698038,FXForward/USD/TZS,FXForward,FXForward,None,-986480000,TZS,TZ_FX_Corporate_old,NORTH MARA GOLD MINE LIMITED,VERIFIED,"Dec 01, 2025 04:08 PM",01-12-2025,Rdmlangwa,Rdmlangwa,,2219.58,400000,67890,887832000
698033,FXForward/USD/TZS,FXForward,FXForward,None,-986480000,TZS,TZ_FX_Interbank,NORTH MARA GOLD MINE LIMITED,PENDING,"Dec 01, 2025 04:05 PM",01-12-2025,Rdmlangwa,Rdmlangwa,,2194.918,400000,67890,877967200
698028,FXForward/USD/TZS,FXForward,FXForward,None,690536000,TZS,TZ_FX_Corporate_old,TANGA CEMENT PLC,VERIFIED,"Dec 01, 2025 04:05 PM",01-12-2025,Rdmlangwa,Rdmlangwa,,2170.256,-280000,67890,-607671680
698027,FXForward/USD/TZS,FXForward,FXForward,None,739860000,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 01, 2025 04:05 PM",01-12-2025,Rdmlangwa,Rdmlangwa,,2170.256,-300000,67890,-651076800
698026,FXForward/USD/TZS,FXForward,FXForward,None,616550000,TZS,TZ_FX_Interbank,BANK OF AFRICA (T) LIMITED,VERIFIED,"Dec 01, 2025 04:05 PM",01-12-2025,Rdmlangwa,Rdmlangwa,,2170.256,-250000,67890,-542564000
698022,FXForward/USD/TZS,FXForward,FXForward,None,246620000,TZS,TZ_FX_Interbank,NCBA BANK TANZANIA LTD,VERIFIED,"Dec 01, 2025 04:05 PM",01-12-2025,Rdmlangwa,Rdmlangwa,,2170.256,-100000,67890,-217025600
